Name,CAN ID,Byte number,Bit number,Length,CAN min,CAN max,MIDI CC,MIDI min,MIDI max
VehSpd_Disp,309,7,0,12,0,4094,1,0,127
PNHV_Bat_SOC,13B,5,6,10,0,1000,2,0,127
EM_EV2_Trq,03F,7,0,14,0,16376,3,0,127
EM_EV2_RPM,03F,5,2,14,0,16382,4,0,127
VehAccel_X_V2,094,2,4,12,0,4094,5,0,127
VehAccel_Y_V2,094,4,0,10,0,1022,6,0,127
BSM_Warn_Lt_Rq,419,8,3,2,0,2,7,0,127
BSM_Warn_Rt_Rq,419,8,5,2,0,2,8,0,127
TurnIndLvr_Stat,1E1,2,4,2,0,2,9,0,127
AirTemp_Insd_V2,37F,4,0,11,0,1250,10,0,127
AmbLgtColor_Stat,33F,7,0,4,0,14,11,0,127
AmbLgtZone_Stat,33F,7,4,3,0,3,12,0,127
IHC_Brt_Outsd,227,3,0,8,0,250,13,0,127
DateTmHour,30B,1,0,8,0,23,14,0,127
DateTmMinute,30B,2,0,8,0,59,15,0,127
DateTmSecond,30B,3,0,8,0,59,16,0,127
DateTmMonth,30B,5,0,8,1,12,17,0,127
AirTemp_Outsd,339,3,0,8,0,250,18,0,127
DrowWarn_Rq,499,4,2,3,0,3,19,0,127
DrowDtct_Actv,499,4,6,1,0,1,20,0,127
